t_Ve,Ve,,t_Vc,Vc
0.00025867707475925555,10.003321424438925,,0.00025867707475925555,5.544638953395879
0.00025877707475925555,10.003188364458723,,0.00025877707475925555,5.543987974094218
0.00025887707475925556,10.003055367887852,,0.00025887707475925556,5.543363600447718
0.00025897707475925556,10.002922435469252,,0.00025897707475925556,5.542765819700219
0.00025907707475925556,10.002789567945024,,0.00025907707475925556,5.542194618947056
0.00025917707475925556,10.00265676605643,,0.00025917707475925556,5.541649985135227
0.00025927707475925557,10.002524030543889,,0.00025927707475925557,5.541131905063564
0.00025937707475925557,10.00239136214697,,0.00025937707475925557,5.540640365382898
0.00025947707475925557,10.002258761604391,,0.00025947707475925557,5.540175352596232
0.0002595770747592556,10.00212622965402,,0.0002595770747592556,5.539736853058911
0.0002596770747592556,10.001993767032861,,0.0002596770747592556,5.539324852978792
0.0002597770747592556,10.001861374477054,,0.0002597770747592556,5.538939338416419
0.0002598770747592556,10.001729052721878,,0.0002598770747592556,5.538580295285193
0.0002599770747592556,10.001596802501737,,0.0002599770747592556,5.538247709351548
0.0002600770747592556,10.001464624550163,,0.0002600770747592556,5.53794156623512
0.0002601770747592556,10.00133251959981,,0.0002601770747592556,5.537661851408931
0.0002602770747592556,10.00120048838245,,0.0002602770747592556,5.53740855019956
0.0002603770747592556,10.001068531628968,,0.0002603770747592556,5.537181647787319
0.0002604770747592556,10.000936650069361,,0.0002604770747592556,5.536981129206432
0.0002605770747592556,10.000804844432736,,0.0002605770747592556,5.5368069793452115
0.0002606770747592556,10.000673115447299,,0.0002606770747592556,5.5366591829462415
0.0002607770747592556,10.000541463840356,,0.0002607770747592556,5.536537724606554
0.0002608770747592556,10.000409890338315,,0.0002608770747592556,5.536442588777808
0.0002609770747592556,10.000278395666665,,0.0002609770747592556,5.536373759766473
0.0002610770747592556,10.000146980549994,,0.0002610770747592556,5.536331221734012
0.0002611770747592556,10.000015645711969,,0.0002611770747592556,5.536314958697062
0.0002612770747592556,9.99988439187534,,0.0002612770747592556,5.536324954527617
0.0002613770747592556,9.999753219761937,,0.0002613770747592556,5.536361192953216
0.0002614770747592556,9.999622130092657,,0.0002614770747592556,5.5364236575571235
0.0002615770747592556,9.999491123587472,,0.0002615770747592556,5.536512331778516
0.0002616770747592556,9.99936020096542,,0.0002616770747592556,5.5366271989126705
0.00026177707475925563,9.9992293629446,,0.00026177707475925563,5.536768242111151
0.00026187707475925563,9.999098610242173,,0.00026187707475925563,5.536935444381994
0.00026197707475925563,9.998967943574351,,0.00026197707475925563,5.5371287885899
0.00026207707475925564,9.998837363656405,,0.00026207707475925564,5.537348257456419
0.00026217707475925564,9.998706871202645,,0.00026217707475925564,5.537593833560144
0.00026227707475925564,9.998576466926432,,0.00026227707475925564,5.537865499336902
0.00026237707475925564,9.998446151540165,,0.00026237707475925564,5.538163237079941
0.00026247707475925564,9.998315925755284,,0.00026247707475925564,5.53848702894013
0.00026257707475925565,9.99818579028226,,0.00026257707475925565,5.538836856926143
0.00026267707475925565,9.998055745830595,,0.00026267707475925565,5.539212702904658
0.00026277707475925565,9.997925793108816,,0.00026277707475925565,5.53961454860055
0.00026287707475925565,9.997795932824477,,0.00026287707475925565,5.540042375597086
0.00026297707475925566,9.997666165684146,,0.00026297707475925566,5.540496165336119
0.00026307707475925566,9.997536492393412,,0.00026307707475925566,5.54097589911829
0.00026317707475925566,9.997406913656873,,0.00026317707475925566,5.541481558103217
0.00026327707475925566,9.997277430178139,,0.00026327707475925566,5.542013123309702
0.00026337707475925567,9.997148042659823,,0.00026337707475925567,5.542570575615923
0.00026347707475925567,9.997018751803543,,0.00026347707475925567,5.543153895759633
0.00026357707475925567,9.99688955830991,,0.00026357707475925567,5.5437630643383615
0.0002636770747592557,9.996760462878532,,0.0002636770747592557,5.544398061809618
0.0002637770747592557,9.996631466208012,,0.0002637770747592557,5.5450588684910915
0.0002638770747592557,9.996502568995938,,0.0002638770747592557,5.545745464560852
0.0002639770747592557,9.996373771938881,,0.0002639770747592557,5.546457830057551
0.0002640770747592557,9.996245075732396,,0.0002640770747592557,5.547195944880628
0.0002641770747592557,9.996116481071013,,0.0002641770747592557,5.547959788790518
0.0002642770747592557,9.995987988648237,,0.0002642770747592557,5.548749341408849
0.0002643770747592557,9.995859599156542,,0.0002643770747592557,5.549564582218649
